"Age, ybp",Age (calender),BSi MAR (mgSiO2/cm2y),,,"Age, cal ybp",Age (calender),BSi MAR (mgSiO2/cm2y)
(Years before 2002),,,,,(Years before 2002),,
4400,-2398,5.17,,,6280,-4278,5.96
4420,-2418,4.28,,,6301,-4299,4.76
4440,-2438,7.26,,,6323,-4321,7.96
4460,-2458,7.55,,,6344,-4342,5.46
4479,-2477,6.05,,,6365,-4363,4.87
4499,-2497,7.41,,,6386,-4384,3.35
4519,-2517,6.44,,,6408,-4406,5.37
4539,-2537,7.32,,,6429,-4427,6.68
4559,-2557,7.26,,,6450,-4448,5.17
4579,-2577,6.87,,,6471,-4469,5.40
4599,-2597,7.05,,,6493,-4491,5.57
4619,-2617,8.07,,,6514,-4512,6.28
4638,-2636,8.27,,,6535,-4533,4.70
4658,-2656,7.78,,,6556,-4554,6.40
4678,-2676,6.68,,,6578,-4576,5.46
4698,-2696,6.46,,,6599,-4597,6.17
4718,-2716,6.13,,,6620,-4618,4.20
4738,-2736,6.73,,,6641,-4639,4.81
4758,-2756,7.78,,,6663,-4661,3.54
4778,-2776,6.60,,,6684,-4682,3.90
4797,-2795,5.34,,,6705,-4703,6.23
4817,-2815,5.32,,,6726,-4724,4.95
4837,-2835,5.34,,,6747,-4745,5.93
4857,-2855,5.80,,,6769,-4767,5.69
4877,-2875,5.38,,,6790,-4788,4.70
4897,-2895,5.89,,,6811,-4809,4.26
4917,-2915,5.80,,,6832,-4830,5.51
4937,-2935,5.63,,,6854,-4852,4.19
4956,-2954,7.36,,,6875,-4873,5.97
4976,-2974,6.88,,,6896,-4894,4.92
4996,-2994,6.35,,,6917,-4915,4.64
5016,-3014,6.42,,,6939,-4937,4.60
5036,-3034,8.40,,,6960,-4958,5.20
5056,-3054,6.34,,,6981,-4979,6.98
5076,-3074,6.11,,,7002,-5000,3.18
5095,-3093,3.72,,,7024,-5022,4.70
5115,-3113,3.60,,,7045,-5043,5.39
5135,-3133,5.84,,,7066,-5064,4.88
5155,-3153,5.07,,,7087,-5085,3.79
5175,-3173,4.58,,,7109,-5107,3.82
5195,-3193,4.25,,,7130,-5128,3.84
5215,-3213,3.51,,,7151,-5149,4.40
5235,-3233,5.30,,,7172,-5170,5.14
5254,-3252,5.51,,,7194,-5192,5.41
5274,-3272,6.43,,,7215,-5213,4.74
5294,-3292,6.58,,,7236,-5234,4.24
5314,-3312,7.40,,,7257,-5255,5.33
